#./munderdamped_3d_gle --dev=0 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.0001 --tau=0.01 --block=1 --paths=1 --periods=100.0 --trans=80 --samples=1 --spp=100 --algorithm=predcorr --pav=1 --mode=trajectory --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/traj-f0.0-D0.0001-m1.0-a8.0-w5.0-t0.01-t1e2.dat
#t <x> <v> <x^2> <v^2> qnu(q) mu_q Dx Gx EBx
1.005435e+02 -7.898537e+01 -1.083337e+00 6.238689e+03 1.173618e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.005561e+02 -7.899999e+01 -1.244497e+00 6.240999e+03 1.548773e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.005687e+02 -7.901664e+01 -1.404842e+00 6.243629e+03 1.973581e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.005812e+02 -7.903529e+01 -1.563719e+00 6.246578e+03 2.445218e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.005938e+02 -7.905593e+01 -1.722187e+00 6.249840e+03 2.965927e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006064e+02 -7.907852e+01 -1.873177e+00 6.253413e+03 3.508794e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006189e+02 -7.910294e+01 -2.015398e+00 6.257276e+03 4.061828e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006315e+02 -7.912910e+01 -2.144242e+00 6.261415e+03 4.597775e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006441e+02 -7.915682e+01 -2.265650e+00 6.265803e+03 5.133169e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006566e+02 -7.918597e+01 -2.379503e+00 6.270417e+03 5.662035e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006692e+02 -7.921645e+01 -2.469213e+00 6.275245e+03 6.097011e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006818e+02 -7.924794e+01 -2.541876e+00 6.280236e+03 6.461135e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006943e+02 -7.928025e+01 -2.601974e+00 6.285358e+03 6.770267e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007069e+02 -7.931318e+01 -2.639077e+00 6.290581e+03 6.964730e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007195e+02 -7.934647e+01 -2.660333e+00 6.295862e+03 7.077373e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007320e+02 -7.937990e+01 -2.657824e+00 6.301168e+03 7.064029e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007446e+02 -7.941322e+01 -2.643722e+00 6.306459e+03 6.989265e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007572e+02 -7.944627e+01 -2.618574e+00 6.311710e+03 6.856929e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007697e+02 -7.947897e+01 -2.584312e+00 6.316906e+03 6.678668e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007823e+02 -7.951118e+01 -2.539609e+00 6.322027e+03 6.449613e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007949e+02 -7.954282e+01 -2.497754e+00 6.327061e+03 6.238773e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008074e+02 -7.957394e+01 -2.455894e+00 6.332011e+03 6.031418e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008200e+02 -7.960454e+01 -2.414510e+00 6.336882e+03 5.829859e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008326e+02 -7.963464e+01 -2.379328e+00 6.341675e+03 5.661203e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008451e+02 -7.966433e+01 -2.348184e+00 6.346405e+03 5.513968e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008577e+02 -7.969368e+01 -2.324764e+00 6.351083e+03 5.404530e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008703e+02 -7.972280e+01 -2.307596e+00 6.355725e+03 5.325000e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008828e+02 -7.975175e+01 -2.299122e+00 6.360341e+03 5.285964e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008954e+02 -7.978063e+01 -2.300684e+00 6.364949e+03 5.293149e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009080e+02 -7.980959e+01 -2.307986e+00 6.369571e+03 5.326798e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009205e+02 -7.983870e+01 -2.322177e+00 6.374218e+03 5.392506e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009331e+02 -7.986802e+01 -2.344298e+00 6.378900e+03 5.495734e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009457e+02 -7.989763e+01 -2.366966e+00 6.383631e+03 5.602528e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009582e+02 -7.992754e+01 -2.396052e+00 6.388412e+03 5.741065e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009708e+02 -7.995782e+01 -2.421799e+00 6.393254e+03 5.865109e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009834e+02 -7.998841e+01 -2.446516e+00 6.398146e+03 5.985442e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009959e+02 -8.001927e+01 -2.463351e+00 6.403084e+03 6.068099e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010085e+02 -8.005029e+01 -2.472901e+00 6.408049e+03 6.115241e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010211e+02 -8.008139e+01 -2.472365e+00 6.413029e+03 6.112587e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010336e+02 -8.011239e+01 -2.462528e+00 6.417995e+03 6.064042e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010462e+02 -8.014316e+01 -2.434783e+00 6.422926e+03 5.928171e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010588e+02 -8.017347e+01 -2.390118e+00 6.427785e+03 5.712664e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010713e+02 -8.020312e+01 -2.326040e+00 6.432540e+03 5.410461e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010839e+02 -8.023186e+01 -2.248993e+00 6.437152e+03 5.057968e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010965e+02 -8.025951e+01 -2.154212e+00 6.441589e+03 4.640628e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011090e+02 -8.028585e+01 -2.035796e+00 6.445818e+03 4.144464e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011216e+02 -8.031061e+01 -1.907566e+00 6.449794e+03 3.638810e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011342e+02 -8.033368e+01 -1.759948e+00 6.453500e+03 3.097416e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011467e+02 -8.035484e+01 -1.608118e+00 6.456899e+03 2.586045e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011593e+02 -8.037402e+01 -1.448442e+00 6.459984e+03 2.097986e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011719e+02 -8.039117e+01 -1.281691e+00 6.462741e+03 1.642731e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011844e+02 -8.040618e+01 -1.105281e+00 6.465154e+03 1.221645e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011970e+02 -8.041895e+01 -9.285042e-01 6.467208e+03 8.621201e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012095e+02 -8.042949e+01 -7.523273e-01 6.468903e+03 5.659964e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012221e+02 -8.043780e+01 -5.692236e-01 6.470239e+03 3.240156e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012347e+02 -8.044381e+01 -3.859788e-01 6.471207e+03 1.489796e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012473e+02 -8.044753e+01 -2.089694e-01 6.471806e+03 4.366820e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012598e+02 -8.044904e+01 -3.149986e-02 6.472047e+03 9.922413e-04 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012724e+02 -8.044833e+01 1.417671e-01 6.471935e+03 2.009791e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012850e+02 -8.044547e+01 3.160206e-01 6.471474e+03 9.986903e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012975e+02 -8.044044e+01 4.829573e-01 6.470665e+03 2.332478e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
