#./munderdamped_3d_gle --dev=0 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.0001 --tau=0.1 --block=1 --paths=1 --periods=100.0 --trans=80 --samples=1 --spp=100 --algorithm=predcorr --pav=1 --mode=trajectory --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/traj-f0.0-D0.0001-m1.0-a8.0-w5.0-t0.1-t1e2.dat
#t <x> <v> <x^2> <v^2> qnu(q) mu_q Dx Gx EBx
1.005435e+02 -1.307689e+01 2.170346e+00 1.710052e+02 4.710400e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.005561e+02 -1.304991e+01 2.124019e+00 1.703002e+02 4.511457e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.005687e+02 -1.302358e+01 2.067113e+00 1.696136e+02 4.272956e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.005812e+02 -1.299801e+01 2.002142e+00 1.689483e+02 4.008574e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.005938e+02 -1.297330e+01 1.931003e+00 1.683065e+02 3.728773e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006064e+02 -1.294950e+01 1.855848e+00 1.676897e+02 3.444170e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006189e+02 -1.292667e+01 1.777994e+00 1.670989e+02 3.161264e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006315e+02 -1.290483e+01 1.698784e+00 1.665346e+02 2.885869e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006441e+02 -1.288398e+01 1.619347e+00 1.659969e+02 2.622286e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006566e+02 -1.286413e+01 1.540347e+00 1.654857e+02 2.372669e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006692e+02 -1.284525e+01 1.463248e+00 1.650006e+02 2.141095e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006818e+02 -1.282734e+01 1.387549e+00 1.645407e+02 1.925291e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.006943e+02 -1.281037e+01 1.313362e+00 1.641056e+02 1.724919e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007069e+02 -1.279432e+01 1.241465e+00 1.636945e+02 1.541237e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007195e+02 -1.277915e+01 1.171994e+00 1.633067e+02 1.373570e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007320e+02 -1.276485e+01 1.104144e+00 1.629414e+02 1.219133e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007446e+02 -1.275139e+01 1.037784e+00 1.625980e+02 1.076996e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007572e+02 -1.273875e+01 9.734414e-01 1.622759e+02 9.475881e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007697e+02 -1.272692e+01 9.103373e-01 1.619744e+02 8.287140e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007823e+02 -1.271587e+01 8.482895e-01 1.616933e+02 7.195951e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.007949e+02 -1.270559e+01 7.869461e-01 1.614321e+02 6.192841e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008074e+02 -1.269608e+01 7.264724e-01 1.611905e+02 5.277622e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008200e+02 -1.268733e+01 6.665297e-01 1.609683e+02 4.442618e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008326e+02 -1.267933e+01 6.071602e-01 1.607653e+02 3.686435e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008451e+02 -1.267207e+01 5.474100e-01 1.605814e+02 2.996576e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008577e+02 -1.266557e+01 4.881066e-01 1.604165e+02 2.382480e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008703e+02 -1.265980e+01 4.288469e-01 1.602706e+02 1.839096e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008828e+02 -1.265479e+01 3.696541e-01 1.601436e+02 1.366442e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.008954e+02 -1.265051e+01 3.108687e-01 1.600354e+02 9.663937e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009080e+02 -1.264697e+01 2.521931e-01 1.599459e+02 6.360134e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009205e+02 -1.264417e+01 1.938554e-01 1.598750e+02 3.757992e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009331e+02 -1.264210e+01 1.359232e-01 1.598226e+02 1.847513e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009457e+02 -1.264075e+01 7.850422e-02 1.597885e+02 6.162913e-03 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009582e+02 -1.264012e+01 2.120884e-02 1.597727e+02 4.498148e-04 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009708e+02 -1.264021e+01 -3.512938e-02 1.597748e+02 1.234074e-03 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009834e+02 -1.264100e+01 -9.089197e-02 1.597948e+02 8.261351e-03 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.009959e+02 -1.264248e+01 -1.456118e-01 1.598324e+02 2.120279e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010085e+02 -1.264465e+01 -1.993631e-01 1.598871e+02 3.974565e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010211e+02 -1.264748e+01 -2.514818e-01 1.599588e+02 6.324310e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010336e+02 -1.265097e+01 -3.027611e-01 1.600469e+02 9.166431e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010462e+02 -1.265508e+01 -3.522586e-01 1.601511e+02 1.240861e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010588e+02 -1.265981e+01 -4.002502e-01 1.602708e+02 1.602002e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010713e+02 -1.266513e+01 -4.465533e-01 1.604055e+02 1.994098e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010839e+02 -1.267102e+01 -4.911156e-01 1.605547e+02 2.411945e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010965e+02 -1.267746e+01 -5.337716e-01 1.607180e+02 2.849121e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
