#m lambda
0.9001 0.0744739
0.9002 0.0590795
0.9003 0.0552899
0.9004 0.0523906
0.9005 0.0680511
0.9006 0.0586455
0.9007 0.0677559
0.9008 0.061764
0.9009 0.0564942
0.9011 0.0789459
0.9012 0.07007
0.9013 0.0549706
0.9014 0.0601461
0.9015 0.0539072
0.9016 0.0647652
0.9017 0.0571262
0.9018 0.0669035
0.9019 0.0642967
0.901 0.0680284
0.9021 0.0743345
0.9022 0.0584023
0.9023 0.0674295
0.9024 0.0622755
0.9025 0.0556472
0.9026 0.0654693
0.9027 0.0676338
0.9028 0.0549967
0.9029 0.0580786
0.902 0.0407737
0.9031 0.0555223
0.9032 0.0604453
0.9033 0.0508865
0.9034 0.0681487
0.9035 0.0577862
0.9036 0.0761912
0.9037 0.0405764
0.9038 0.0417432
0.9039 0.0649035
0.903 0.0467405
0.9041 0.0644788
0.9042 0.0707859
0.9043 0.0676489
0.9044 0.048393
0.9045 0.0631287
0.9046 0.0635037
0.9047 0.0610717
0.9048 0.0681393
0.9049 0.0728222
0.904 0.0681749
0.9051 0.0507645
0.9052 0.0649171
0.9053 0.0697038
0.9054 0.0666068
0.9055 0.0698375
0.9056 0.079536
0.9057 0.0502242
0.9058 0.0661647
0.9059 0.0682474
0.905 0.0606418
0.9061 0.0722357
0.9062 0.0719181
0.9063 0.0416665
0.9064 0.0590995
0.9065 0.068108
0.9066 0.0785999
0.9067 0.0829563
0.9068 0.0728397
0.9069 0.0027665
0.906 0.0806208
0.9071 0.002765
0.9072 0.00157947
0.9073 0.00137231
0.9074 0.00136683
0.9075 0.00176779
0.9076 0.0350668
0.9077 0.0495882
0.9078 0.0647556
0.9079 0.0428164
0.907 0.00491483
0.9081 0.0598202
0.9082 0.0621399
0.9083 0.0678589
0.9084 0.0710773
0.9085 0.0663438
0.9086 0.062348
0.9087 0.0497988
0.9088 0.0694459
0.9089 0.0718905
0.908 0.0725844
0.9091 0.0651533
0.9092 0.058253
0.9093 0.0649709
0.9094 0.0693406
0.9095 0.0694455
0.9096 0.0746336
0.9097 0.0763754
0.9098 0.0633154
0.9099 0.0653821
0.909 0.0612885
0.9101 0.0522804
0.9102 0.0644367
0.9103 0.0614905
0.9104 0.0536935
0.9105 0.0626986
0.9106 0.0620073
0.9107 0.0748787
0.9108 0.0672649
0.9109 0.0735651
0.9111 0.0608091
0.9112 0.079155
0.9113 0.0559893
0.9114 0.0614565
0.9115 0.0508908
0.9116 0.0718947
0.9117 0.0499182
0.9118 0.057862
0.9119 0.0683363
0.911 0.0616049
0.9121 0.0614338
0.9122 0.07465
0.9123 0.059257
0.9124 0.0750259
0.9125 0.0641019
0.9126 0.0754233
0.9127 0.055903
0.9128 0.0609152
0.9129 0.0657092
0.912 0.0656891
0.9131 0.0633
0.9132 0.0522876
0.9133 0.0700313
0.9134 0.0737833
0.9135 0.0644343
0.9136 0.0643981
0.9137 0.0706742
0.9138 0.0747242
0.9139 0.0636324
0.913 0.0756034
0.9141 0.066644
0.9142 0.0712794
0.9143 0.0649131
0.9144 0.0536507
0.9145 0.0638629
0.9146 0.053793
0.9147 0.0608139
0.9148 0.0681242
0.9149 0.0525351
0.914 0.0559359
0.9151 0.0741832
0.9152 0.0512464
0.9153 0.0607254
0.9154 0.075531
0.9155 0.0673447
0.9156 0.0624552
0.9157 0.0633379
0.9158 0.0750979
0.9159 0.0653827
0.915 0.0682427
0.9161 0.0543358
0.9162 0.060474
