#./munderdamped_3d_gle --dev=3 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.001 --tau=0.01 --block=1024 --paths=16384 --periods=1001000 --trans=1000 --samples=100 --spp=100 --algorithm=predcorr --pav=1 --mode=switchtime --domain=1d --domainx=D:-4:0:100:1 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 --npeaks=2 --dpeaks=0.198943678865 >> temp/stime-f0.0-D_-4_0-m1.0-a8.0-w5.0-t0.01-npeaks1_dpeaks0.5-t1e6.dat
#D stime
1.000000e-04 1.000184e+06
1.096478e-04 1.000184e+06
1.202264e-04 1.000184e+06
1.318256e-04 1.000184e+06
1.445439e-04 1.000184e+06
1.584892e-04 1.000184e+06
1.737800e-04 1.000184e+06
1.905460e-04 1.000184e+06
2.089295e-04 1.000184e+06
2.290866e-04 1.000184e+06
2.511884e-04 1.000184e+06
2.754226e-04 1.000184e+06
3.019948e-04 1.000184e+06
3.311308e-04 1.000184e+06
3.630776e-04 1.000184e+06
3.981066e-04 1.000184e+06
4.365152e-04 1.000184e+06
4.786294e-04 1.000184e+06
5.248066e-04 1.000184e+06
5.754390e-04 1.000184e+06
6.309563e-04 1.000184e+06
6.918297e-04 1.000184e+06
7.585761e-04 1.000184e+06
8.317621e-04 1.000184e+06
9.120089e-04 1.000184e+06
9.999978e-04 9.989820e+05
1.096476e-03 9.937071e+05
1.202262e-03 9.731426e+05
1.318253e-03 9.177340e+05
1.445436e-03 7.893861e+05
1.584889e-03 5.518113e+05
1.737796e-03 2.643605e+05
1.905455e-03 1.004646e+05
2.089290e-03 4.145811e+04
2.290861e-03 2.005566e+04
2.511879e-03 1.034090e+04
2.754220e-03 5.688904e+03
3.019942e-03 3.303065e+03
3.311300e-03 2.019854e+03
3.630768e-03 1.276490e+03
3.981058e-03 8.357733e+02
4.365142e-03 5.660892e+02
4.786283e-03 3.946261e+02
5.248055e-03 2.820822e+02
5.754377e-03 2.073500e+02
6.309548e-03 1.556946e+02
6.918282e-03 1.194583e+02
7.585744e-03 9.347366e+01
8.317603e-03 7.440147e+01
9.120069e-03 6.019442e+01
9.999956e-03 4.944469e+01
1.096473e-02 4.119826e+01
1.202259e-02 3.476336e+01
1.318251e-02 2.969743e+01
1.445433e-02 2.562782e+01
1.584885e-02 2.235490e+01
1.737792e-02 1.968430e+01
1.905451e-02 1.748550e+01
2.089285e-02 1.565520e+01
2.290856e-02 1.412362e+01
2.511873e-02 1.282904e+01
2.754214e-02 1.172403e+01
3.019935e-02 1.078386e+01
3.311293e-02 9.967245e+00
3.630760e-02 9.257451e+00
3.981049e-02 8.638537e+00
4.365133e-02 8.090500e+00
4.786273e-02 7.605252e+00
5.248043e-02 7.172182e+00
5.754365e-02 6.781561e+00
6.309535e-02 6.430496e+00
6.918266e-02 6.110360e+00
7.585727e-02 5.820249e+00
8.317585e-02 5.552961e+00
9.120049e-02 5.308722e+00
9.999934e-02 5.085617e+00
1.096471e-01 4.878202e+00
1.202257e-01 4.686268e+00
1.318248e-01 4.508876e+00
1.445431e-01 4.344497e+00
1.584883e-01 4.192384e+00
1.737790e-01 4.051629e+00
1.905449e-01 3.921068e+00
2.089283e-01 3.800943e+00
2.290854e-01 3.688753e+00
2.511871e-01 3.584861e+00
2.754212e-01 3.490148e+00
3.019934e-01 3.402157e+00
3.311291e-01 3.319961e+00
3.630759e-01 3.246229e+00
3.981048e-01 3.178053e+00
4.365132e-01 3.116956e+00
4.786272e-01 3.061587e+00
5.248042e-01 3.011749e+00
5.754364e-01 2.968237e+00
6.309535e-01 2.929533e+00
6.918267e-01 2.896646e+00
7.585729e-01 2.869473e+00
8.317586e-01 2.847392e+00
9.120052e-01 2.830550e+00
