#./overdamped_3d --dev=1 --amp=250.0 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=50.0 --zeta=0.02 --comp=0 --mean=1.0 --second=2.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_2.0_50.0_0.99_1.0_0.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.005186e+00 9.225938e-01 6.212716e+05 4.943576e+01 -5.315787e-02 2.117038e-03
1.031177e-01 1.002313e+00 9.662142e-01 6.053403e+05 4.816761e+01 -2.416581e-02 2.164841e-03
1.063327e-01 1.007174e+00 9.491415e-01 6.220851e+05 4.950610e+01 -7.189018e-02 2.162695e-03
1.096478e-01 1.000088e+00 9.975803e-01 6.277861e+05 4.994664e+01 -2.491933e-02 2.076387e-03
1.130663e-01 1.003274e+00 9.751922e-01 6.394472e+05 5.088375e+01 1.053333e-03 2.291322e-03
1.165914e-01 1.006392e+00 1.041110e+00 6.893196e+05 5.485944e+01 2.782202e-02 2.261877e-03
1.202264e-01 9.980145e-01 9.272110e-01 6.038928e+05 4.805429e+01 6.514049e-02 2.014399e-03
1.239747e-01 1.008723e+00 8.983375e-01 5.994864e+05 4.770797e+01 -3.844488e-02 2.123237e-03
1.278399e-01 9.959050e-01 9.598029e-01 6.191313e+05 4.927406e+01 -8.788228e-03 2.235651e-03
1.318256e-01 9.978719e-01 9.599075e-01 6.202016e+05 4.935077e+01 -1.929229e-02 2.169371e-03
1.359356e-01 1.000010e+00 9.521617e-01 5.949202e+05 4.734669e+01 1.603854e-02 2.264857e-03
1.401737e-01 1.004566e+00 9.121346e-01 5.796825e+05 4.612788e+01 -5.955368e-02 2.080321e-03
1.445439e-01 1.004177e+00 9.103364e-01 6.294576e+05 5.008765e+01 -1.572555e-02 2.120018e-03
1.490504e-01 1.004657e+00 9.494779e-01 6.264189e+05 4.985147e+01 6.684518e-02 2.505422e-03
1.536974e-01 1.004375e+00 9.589707e-01 6.326789e+05 5.034930e+01 -4.843754e-02 2.221227e-03
1.584892e-01 1.009120e+00 9.409933e-01 6.538598e+05 5.203380e+01 -1.337016e-02 2.429008e-03
1.634305e-01 1.007673e+00 9.119732e-01 6.184434e+05 4.921708e+01 -1.311185e-01 2.365828e-03
1.685258e-01 1.006683e+00 9.036484e-01 5.977970e+05 4.757046e+01 3.280640e-02 2.061248e-03
1.737800e-01 1.001861e+00 9.057593e-01 6.129966e+05 4.877749e+01 -4.626644e-02 2.216935e-03
1.791980e-01 1.004815e+00 9.111411e-01 5.873575e+05 4.673521e+01 -9.374905e-02 2.254844e-03
1.847849e-01 1.001016e+00 9.784084e-01 6.070266e+05 4.830926e+01 -9.806812e-03 2.163649e-03
1.905460e-01 1.009013e+00 1.021990e+00 6.707753e+05 5.337739e+01 -6.082374e-02 2.449274e-03
1.964867e-01 1.004315e+00 9.648110e-01 6.328971e+05 5.036522e+01 9.114265e-03 2.253413e-03
2.026126e-01 9.999913e-01 9.363927e-01 6.113141e+05 4.864539e+01 -2.258414e-02 2.096176e-03
2.089295e-01 1.008724e+00 9.786903e-01 6.391939e+05 5.086688e+01 -1.683772e-02 2.333045e-03
2.154433e-01 1.002128e+00 9.547284e-01 6.562849e+05 5.222288e+01 -3.709978e-02 2.266884e-03
2.221602e-01 1.004078e+00 9.689894e-01 6.169410e+05 4.909039e+01 -3.978342e-02 2.288580e-03
2.290866e-01 1.008037e+00 9.255517e-01 6.279738e+05 4.997497e+01 -6.894952e-02 2.129793e-03
2.362289e-01 1.002743e+00 9.183063e-01 6.262046e+05 4.984064e+01 -3.558105e-02 2.314687e-03
2.435938e-01 1.003090e+00 9.699454e-01 6.352306e+05 5.054602e+01 -1.395595e-02 2.069116e-03
2.511884e-01 9.976403e-01 9.601820e-01 6.198546e+05 4.932880e+01 -3.385514e-02 2.244711e-03
2.590198e-01 1.007615e+00 9.658923e-01 6.549500e+05 5.212197e+01 -1.157061e-01 2.400756e-03
2.670953e-01 9.988097e-01 9.841599e-01 6.391157e+05 5.085446e+01 -8.062726e-02 2.148032e-03
2.754226e-01 9.995291e-01 8.859538e-01 5.869781e+05 4.670816e+01 4.257882e-02 2.289176e-03
2.840095e-01 1.006996e+00 9.366459e-01 6.215243e+05 4.945804e+01 -1.274133e-02 2.379656e-03
2.928641e-01 9.965763e-01 9.572418e-01 6.305383e+05 5.017264e+01 8.451939e-03 2.139449e-03
3.019949e-01 1.003955e+00 8.950306e-01 5.899853e+05 4.695198e+01 -3.155065e-02 2.127647e-03
3.114102e-01 9.997051e-01 9.496776e-01 5.867190e+05 4.668938e+01 -8.281875e-02 2.219439e-03
3.211191e-01 1.004861e+00 9.376774e-01 5.880801e+05 4.679601e+01 -7.590157e-02 2.270937e-03
3.311307e-01 9.906856e-01 9.628259e-01 6.183082e+05 4.920912e+01 -3.984255e-02 2.142668e-03
3.414545e-01 9.959756e-01 8.858905e-01 5.774161e+05 4.595122e+01 5.134523e-02 2.127647e-03
3.521001e-01 1.008098e+00 1.039929e+00 6.868391e+05 5.465540e+01 -2.229869e-02 2.390862e-03
3.630776e-01 9.998178e-01 9.384032e-01 6.301416e+05 5.014813e+01 -2.091289e-02 2.305269e-03
3.743974e-01 1.001020e+00 9.616615e-01 6.403653e+05 5.096110e+01 -8.566099e-02 2.248764e-03
3.860700e-01 9.993597e-01 9.501026e-01 6.041259e+05 4.807498e+01 -5.517709e-02 2.208829e-03
3.981066e-01 1.006893e+00 9.099532e-01 5.918141e+05 4.709650e+01 4.742146e-03 2.384305e-03
4.105185e-01 1.011926e+00 9.811868e-01 6.398530e+05 5.091271e+01 -4.524392e-02 2.148867e-03
4.233173e-01 1.014292e+00 1.029680e+00 6.727376e+05 5.353877e+01 -4.674840e-02 2.303958e-03
4.365152e-01 9.976324e-01 9.672588e-01 6.317862e+05 5.027609e+01 -9.037215e-02 2.182364e-03
4.501246e-01 1.006715e+00 9.568302e-01 6.185381e+05 4.922758e+01 -6.832981e-02 2.178311e-03
4.641582e-01 1.009689e+00 9.609037e-01 6.373041e+05 5.071250e+01 -7.330352e-02 2.372742e-03
4.786294e-01 1.001058e+00 9.588799e-01 6.255608e+05 4.978208e+01 -3.981322e-02 2.077460e-03
4.935517e-01 9.998252e-01 9.629906e-01 6.230478e+05 4.958568e+01 -4.614848e-02 2.280951e-03
5.089393e-01 1.002836e+00 9.145429e-01 6.116482e+05 4.867627e+01 -5.228198e-02 2.224088e-03
5.248066e-01 9.984938e-01 9.655048e-01 5.963656e+05 4.745491e+01 -5.964673e-02 2.185345e-03
5.411686e-01 1.003504e+00 9.498695e-01 6.213549e+05 4.944244e+01 -1.305509e-02 2.095938e-03
5.580408e-01 1.006741e+00 9.904332e-01 6.691446e+05 5.325134e+01 -8.739591e-03 2.368212e-03
5.754390e-01 1.007057e+00 9.923164e-01 6.697738e+05 5.330036e+01 5.500412e-02 2.246141e-03
5.933796e-01 1.005228e+00 9.606054e-01 6.242379e+05 4.967544e+01 -1.755595e-03 2.148747e-03
6.118796e-01 1.003239e+00 9.461410e-01 6.259002e+05 4.980690e+01 -3.680390e-02 2.080679e-03
6.309564e-01 1.001077e+00 9.589500e-01 6.310227e+05 5.021593e+01 -2.198142e-02 2.412796e-03
6.506279e-01 9.991430e-01 1.005230e+00 6.510185e+05 5.180780e+01 -9.387332e-02 2.274513e-03
6.709126e-01 1.013039e+00 9.771456e-01 6.421286e+05 5.109956e+01 -1.284742e-02 2.408266e-03
6.918299e-01 1.010190e+00 9.525175e-01 6.063948e+05 4.825355e+01 1.851118e-02 2.074599e-03
7.133992e-01 1.012616e+00 9.424124e-01 6.131332e+05 4.878895e+01 -7.174236e-02 2.105951e-03
7.356411e-01 1.012612e+00 9.545287e-01 5.954076e+05 4.738298e+01 -4.857743e-02 2.303720e-03
7.585764e-01 1.003543e+00 9.632894e-01 6.120948e+05 4.870874e+01 9.797812e-04 2.237678e-03
7.822267e-01 1.007298e+00 9.879019e-01 6.479789e+05 5.156939e+01 -2.506655e-02 2.253413e-03
8.066144e-01 1.002575e+00 9.977003e-01 6.387128e+05 5.082836e+01 -3.201121e-02 2.313375e-03
