#./double_munderdamped_3d --dev=1 --amp=10.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=50.0 --zeta=0.02 --comp=0 --mean=1.0 --second=2.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_2.0_50.0_0.99_1.0_10.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 1.423868e+00 7.287817e+04 9.581407e-01 6.317170e+05 5.027044e+01 -3.047254e-03 1.632788e+01 1.535713e-05 8.480542e-03
1.023293e-03 1.431871e+00 7.051527e+04 9.559627e-01 6.258571e+05 4.980412e+01 -3.432022e-02 1.605782e+01 1.360687e-05 8.928707e-03
1.047129e-03 1.421396e+00 6.819550e+04 9.275829e-01 6.031305e+05 4.799560e+01 -3.460156e-02 1.441776e+01 1.421093e-05 8.265968e-03
1.071519e-03 1.422893e+00 6.599944e+04 1.020446e+00 6.371587e+05 5.070348e+01 -5.094440e-03 1.932929e+01 1.479248e-05 9.040167e-03
1.096478e-03 1.433148e+00 6.391342e+04 9.145883e-01 5.807434e+05 4.621409e+01 -4.187068e-02 1.646146e+01 1.377059e-05 8.052344e-03
1.122018e-03 1.430639e+00 6.189731e+04 9.737703e-01 6.120909e+05 4.870865e+01 1.284209e-01 3.293586e+01 1.353387e-05 8.477606e-03
1.148154e-03 1.420792e+00 5.994172e+04 9.882246e-01 5.971034e+05 4.751598e+01 -2.044344e-02 4.321144e+01 1.452341e-05 8.773111e-03
1.174898e-03 1.425863e+00 5.807950e+04 9.800169e-01 6.096660e+05 4.851568e+01 -4.036023e-02 2.403064e+01 1.479955e-05 8.470582e-03
1.202264e-03 1.423487e+00 5.629064e+04 8.812881e-01 5.547538e+05 4.414590e+01 -5.675114e-02 1.139012e+01 1.488646e-05 7.728595e-03
1.230269e-03 1.422569e+00 5.457405e+04 1.008972e+00 6.235231e+05 4.961839e+01 -2.339591e-02 3.426327e+01 1.504588e-05 8.778778e-03
1.258925e-03 1.415607e+00 5.290625e+04 9.244890e-01 6.049390e+05 4.813951e+01 -2.068662e-02 2.170193e+01 1.448144e-05 8.639223e-03
1.288250e-03 1.429742e+00 5.133314e+04 1.000095e+00 6.320443e+05 5.029649e+01 -3.052034e-02 1.401336e+01 1.471775e-05 8.807394e-03
1.318257e-03 1.421636e+00 4.979821e+04 9.977713e-01 6.424882e+05 5.112759e+01 2.553225e-02 2.040090e+01 1.486065e-05 8.989795e-03
1.348963e-03 1.420493e+00 4.831120e+04 9.377933e-01 5.980570e+05 4.759187e+01 8.411369e-03 8.019423e+00 1.554832e-05 8.300301e-03
1.380384e-03 1.426802e+00 4.689328e+04 9.346962e-01 6.117816e+05 4.868404e+01 4.899898e-02 1.846970e+01 1.403961e-05 8.323500e-03
1.412538e-03 1.418273e+00 4.550939e+04 9.565758e-01 6.153047e+05 4.896439e+01 -2.351948e-02 1.642955e+01 1.441328e-05 8.533580e-03
1.445440e-03 1.428229e+00 4.419840e+04 9.005726e-01 5.921855e+05 4.712462e+01 -3.517532e-02 1.124679e+01 1.462743e-05 7.969372e-03
1.479108e-03 1.423592e+00 4.291924e+04 9.699507e-01 6.089475e+05 4.845850e+01 2.775100e-02 1.999131e+01 1.468891e-05 8.594437e-03
1.513561e-03 1.416517e+00 4.168275e+04 8.833486e-01 5.684022e+05 4.523201e+01 1.315216e-02 3.008880e+01 1.472259e-05 8.084308e-03
1.548817e-03 1.420001e+00 4.049254e+04 9.302286e-01 5.890823e+05 4.687768e+01 1.798267e-03 7.887532e+00 1.511493e-05 8.149126e-03
1.584893e-03 1.422471e+00 3.933729e+04 9.011816e-01 6.086763e+05 4.843692e+01 -1.931332e-02 1.004240e+01 1.479175e-05 8.457586e-03
1.621810e-03 1.419434e+00 3.823650e+04 9.958390e-01 6.143984e+05 4.889227e+01 -2.304192e-02 1.430505e+01 1.429312e-05 8.458427e-03
1.659587e-03 1.418209e+00 3.715905e+04 1.000920e+00 6.209214e+05 4.941136e+01 4.387093e-02 8.058242e+00 1.495251e-05 8.890340e-03
1.698244e-03 1.422634e+00 3.613149e+04 9.152173e-01 5.946009e+05 4.731683e+01 -5.481876e-02 8.460965e+00 1.518178e-05 8.401601e-03
1.737801e-03 1.423272e+00 3.512490e+04 9.449535e-01 6.398915e+05 5.092095e+01 -1.722024e-02 2.344930e+01 1.502365e-05 8.741061e-03
1.778279e-03 1.429868e+00 3.415552e+04 8.846408e-01 5.784740e+05 4.603349e+01 2.726826e-02 1.140938e+01 1.527789e-05 7.888786e-03
1.819701e-03 1.423190e+00 3.321346e+04 8.722282e-01 5.861196e+05 4.664191e+01 -5.140542e-02 1.373613e+01 1.397863e-05 8.121257e-03
1.862087e-03 1.422009e+00 3.229941e+04 9.378819e-01 5.846015e+05 4.652111e+01 -2.962534e-02 1.161115e+01 1.409599e-05 8.263612e-03
1.905461e-03 1.424326e+00 3.141861e+04 8.992183e-01 5.891332e+05 4.688173e+01 -1.477995e-02 2.260314e+01 1.464751e-05 8.347267e-03
1.949845e-03 1.416038e+00 3.056746e+04 9.341970e-01 6.112280e+05 4.863998e+01 -1.526429e-02 1.350746e+01 1.479728e-05 8.824028e-03
1.995262e-03 1.417154e+00 2.973857e+04 8.790904e-01 5.875994e+05 4.675967e+01 2.117145e-02 1.221176e+01 1.523778e-05 8.091006e-03
2.041738e-03 1.421643e+00 2.893824e+04 9.399284e-01 5.685204e+05 4.524141e+01 1.088915e-02 1.447809e+01 1.409346e-05 8.012083e-03
2.089296e-03 1.424837e+00 2.816983e+04 1.021631e+00 6.714068e+05 5.342885e+01 1.601464e-02 7.108213e+00 1.563072e-05 9.196891e-03
2.137962e-03 1.423547e+00 2.741940e+04 8.775937e-01 5.867571e+05 4.669264e+01 -6.528314e-02 1.831461e+01 1.445431e-05 8.088285e-03
