#./overdamped_3d --dev=0 --amp=120 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_20.0_5.0_0.99_1.0_0.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.003530e+00 1.012937e+00 6.303558e+05 5.015864e+01 1.001605e-01 2.463579e-03
1.031177e-01 9.912141e-01 9.657583e-01 6.249223e+05 4.972828e+01 5.840898e-03 2.519488e-03
1.063327e-01 9.999448e-01 9.742789e-01 6.670214e+05 5.308295e+01 1.562119e-03 2.660632e-03
1.096478e-01 1.000666e+00 9.823241e-01 6.557782e+05 5.218755e+01 2.008891e-01 2.675295e-03
1.130663e-01 1.001422e+00 9.398212e-01 6.097285e+05 4.852475e+01 4.864109e-02 2.446413e-03
1.165914e-01 1.003957e+00 9.472896e-01 6.311486e+05 5.021975e+01 1.302692e-01 2.668381e-03
1.202264e-01 9.952393e-01 8.889835e-01 6.117621e+05 4.868232e+01 2.689803e-02 2.503514e-03
1.239747e-01 9.982454e-01 9.889964e-01 6.582615e+05 5.238171e+01 2.768779e-02 2.635717e-03
1.278399e-01 9.962015e-01 9.556646e-01 6.171356e+05 4.910981e+01 8.388221e-02 2.616405e-03
1.318256e-01 1.003262e+00 9.879786e-01 6.562149e+05 5.221874e+01 9.619176e-02 2.739310e-03
1.359356e-01 1.002110e+00 8.863423e-01 5.909144e+05 4.702647e+01 4.031587e-02 2.630591e-03
1.401737e-01 9.989327e-01 9.518486e-01 6.466650e+05 5.145607e+01 3.005779e-02 2.483010e-03
1.445439e-01 9.993346e-01 9.567521e-01 6.026589e+05 4.795402e+01 9.342647e-02 2.530813e-03
1.490504e-01 1.003145e+00 9.839081e-01 6.252669e+05 4.975375e+01 1.241051e-01 2.499819e-03
