#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=0.1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_20.0_5.0_0.99_1.0_0.1.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 9.958630e-01 5.029047e+02 9.126195e-01 6.192106e+05 4.927521e+01 8.444739e-02 1.995176e+00 1.944381e-04 1.765050e-02
1.031177e-01 9.998382e-01 5.032324e+02 9.489216e-01 6.606378e+05 5.257189e+01 3.566184e-02 3.092028e+00 1.983140e-04 1.909120e-02
1.063327e-01 1.001502e+00 5.030174e+02 9.237819e-01 5.995301e+05 4.770909e+01 7.801980e-03 1.967564e+00 1.997349e-04 1.635217e-02
1.096478e-01 9.997677e-01 5.035094e+02 9.602079e-01 6.244882e+05 4.969519e+01 1.540097e-01 2.778474e+00 2.027338e-04 1.819510e-02
1.130663e-01 1.000821e+00 5.030883e+02 9.583327e-01 6.346245e+05 5.050181e+01 -5.657184e-02 2.430354e+00 2.059437e-04 1.726640e-02
1.165914e-01 9.983714e-01 5.033166e+02 9.486447e-01 6.287698e+05 5.003591e+01 -2.870328e-02 2.004397e+00 2.111671e-04 1.846642e-02
1.202264e-01 1.000020e+00 5.031398e+02 1.034100e+00 6.695282e+05 5.327936e+01 1.187795e-01 2.791278e+00 2.197918e-04 1.924218e-02
1.239748e-01 1.002273e+00 5.027033e+02 1.022287e+00 6.344850e+05 5.049071e+01 -6.412216e-03 1.867276e+00 2.049999e-04 1.788304e-02
1.278400e-01 1.001588e+00 5.031799e+02 1.002484e+00 6.524353e+05 5.191915e+01 1.354963e-01 2.173515e+00 2.019247e-04 1.814749e-02
1.318257e-01 9.948010e-01 5.029848e+02 9.694014e-01 6.236738e+05 4.963038e+01 5.236490e-02 2.793298e+00 1.901383e-04 1.689617e-02
