#./overdamped_3d --dev=1 --amp=250.0 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_0.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 3.985963e-07 2.416859e-04 7.188023e+00 5.720042e-04 -1.686169e-01 2.717607e-01
1.031177e-01 6.744812e-06 1.511072e-02 7.717188e+00 6.141153e-04 -1.405617e-01 1.007063e+00
1.063327e-01 8.498526e-07 1.332636e-03 7.564001e+00 6.019236e-04 -2.623158e-01 4.509642e-01
1.096478e-01 8.028676e-06 3.027304e-02 7.667733e+00 6.101779e-04 1.092259e-01 1.277515e+00
1.130663e-01 2.241483e-06 1.145967e-02 7.772987e+00 6.185570e-04 -2.342135e-01 6.660464e-01
1.165914e-01 3.475597e-06 2.582348e-03 7.751507e+00 6.168472e-04 -3.030615e-01 6.809752e-01
1.202264e-01 5.697685e-06 1.040955e-02 7.409155e+00 5.896024e-04 -2.216606e-01 7.714204e-01
1.239747e-01 1.976370e-06 2.956249e-03 7.687546e+00 6.117557e-04 -2.870270e-01 4.905845e-01
1.278399e-01 3.154915e-06 1.784422e-02 7.478317e+00 5.951052e-04 -7.590890e-02 5.940238e-01
1.318256e-01 8.405728e-06 3.062124e-02 8.164950e+00 6.497463e-04 -2.543398e-01 1.043676e+00
1.359356e-01 9.720414e-06 3.046715e-02 8.019772e+00 6.381939e-04 -1.515349e-01 1.011631e+00
1.401737e-01 1.819668e-05 4.949377e-02 8.148061e+00 6.484035e-04 2.323830e-02 1.408073e+00
1.445439e-01 1.130253e-05 2.650315e-02 8.026360e+00 6.387178e-04 -1.525027e-01 9.938809e-01
1.490504e-01 2.617379e-05 6.765413e-02 8.623625e+00 6.862450e-04 2.707481e-03 1.623412e+00
1.536974e-01 2.656227e-05 6.673202e-02 8.313221e+00 6.615445e-04 -9.724236e-02 1.651249e+00
1.584892e-01 2.763322e-05 6.796162e-02 7.944573e+00 6.322088e-04 -1.271161e-01 1.549294e+00
1.634305e-01 3.361077e-05 7.582471e-02 9.313906e+00 7.411797e-04 -5.124265e-02 1.655961e+00
1.685258e-01 3.751325e-05 9.705164e-02 8.876940e+00 7.064034e-04 -1.837450e-02 1.627260e+00
1.737800e-01 5.554959e-05 1.276244e-01 9.797968e+00 7.796966e-04 3.100991e-03 1.921890e+00
1.791980e-01 5.994284e-05 1.225409e-01 9.662881e+00 7.689483e-04 3.612280e-03 1.845536e+00
1.847849e-01 6.959946e-05 1.633332e-01 9.847675e+00 7.836523e-04 2.369295e-01 1.720232e+00
1.905460e-01 7.475886e-05 1.747224e-01 1.043843e+01 8.306657e-04 2.061796e-02 1.739381e+00
1.964867e-01 1.116798e-04 2.234440e-01 1.135493e+01 9.035964e-04 8.084929e-02 1.664485e+00
2.026126e-01 1.255074e-04 2.037356e-01 1.182399e+01 9.409224e-04 4.860651e-02 1.642775e+00
2.089295e-01 1.354160e-04 2.369374e-01 1.217039e+01 9.684917e-04 7.792318e-02 1.665143e+00
2.154433e-01 1.900487e-04 3.108103e-01 1.420731e+01 1.130583e-03 1.898165e-01 1.585217e+00
2.221602e-01 2.790913e-04 3.831615e-01 1.727235e+01 1.374489e-03 1.988614e-01 1.475783e+00
2.290866e-01 2.652791e-04 3.453265e-01 1.674553e+01 1.332564e-03 1.684701e-01 1.457560e+00
2.362289e-01 3.853592e-04 5.135106e-01 2.227904e+01 1.772909e-03 1.712935e-01 1.392503e+00
2.435938e-01 4.835245e-04 5.550072e-01 2.426439e+01 1.930901e-03 9.324801e-02 1.164631e+00
2.511884e-01 6.324003e-04 5.832592e-01 3.157302e+01 2.512495e-03 1.043547e-01 1.026706e+00
2.590198e-01 7.553957e-04 6.219693e-01 3.510779e+01 2.793791e-03 1.357745e-01 9.000530e-01
2.670953e-01 9.395314e-04 6.859823e-01 4.481814e+01 3.566521e-03 1.570822e-01 8.503653e-01
2.754226e-01 1.217937e-03 7.714608e-01 5.361491e+01 4.266553e-03 7.647038e-03 6.653082e-01
2.840095e-01 1.487808e-03 7.039070e-01 6.089326e+01 4.845729e-03 7.875788e-02 5.644556e-01
