#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=1.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_1.0.dat
#s <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 -4.275287e-07 4.263316e-01 1.398895e-02 1.722105e-03 1.370408e-07 1.224911e-01 1.362867e-01 5.457476e-04 5.579466e+02
1.031177e-01 -1.227735e-07 4.362121e-01 -3.692547e-02 1.696642e-03 1.350145e-07 3.315139e-01 1.150971e-01 6.055176e-04 7.287263e+03
1.063327e-01 1.786101e-07 4.451796e-01 6.982314e-02 1.898585e-03 1.510846e-07 2.330329e-01 1.106171e-01 6.373238e-04 3.751130e+03
1.096478e-01 8.217161e-08 4.554740e-01 9.758854e-04 1.835399e-03 1.460564e-07 4.843480e-02 1.634753e-01 5.993571e-04 1.709863e+04
1.130663e-01 6.627548e-08 4.657504e-01 -3.489610e-02 1.804152e-03 1.435699e-07 6.525713e-02 9.836050e-02 5.807766e-04 2.674727e+04
1.165914e-01 -1.424259e-07 4.762857e-01 8.091402e-02 2.045395e-03 1.627673e-07 1.270015e-01 1.545734e-01 5.453770e-04 5.931559e+03
1.202264e-01 -2.886710e-07 4.864899e-01 -2.436445e-02 1.895389e-03 1.508303e-07 2.531004e-01 3.204288e-01 5.295038e-04 1.522012e+03
1.239748e-01 4.292108e-08 4.982173e-01 7.798872e-02 2.119538e-03 1.686675e-07 3.191799e-01 2.009957e-01 5.642268e-04 6.685858e+04
1.278400e-01 1.021618e-07 5.100839e-01 -1.605777e-03 2.035401e-03 1.619721e-07 7.734186e-01 1.302277e-01 6.091449e-04 1.176352e+04
1.318257e-01 2.030721e-07 5.200320e-01 7.649549e-03 2.103722e-03 1.674089e-07 3.618189e-01 7.968469e-02 5.573643e-04 3.334523e+03
1.359356e-01 -3.165176e-07 5.333111e-01 8.492625e-02 2.294255e-03 1.825710e-07 2.056809e-01 2.878895e-01 5.695472e-04 1.339842e+03
1.401737e-01 3.014768e-07 5.440867e-01 3.068765e-02 2.238694e-03 1.781496e-07 1.419645e-01 4.058173e-01 5.550348e-04 1.571286e+03
1.445440e-01 1.077527e-07 5.586551e-01 -2.113275e-02 2.189337e-03 1.742219e-07 1.799190e-01 1.981419e-01 6.175941e-04 1.108159e+04
1.490505e-01 4.601612e-07 5.713613e-01 -3.662965e-02 2.212399e-03 1.760571e-07 2.096113e-01 2.539192e-01 5.705164e-04 6.778863e+02
1.536975e-01 -2.275343e-07 5.860427e-01 6.767996e-03 2.368505e-03 1.884796e-07 1.700800e-01 2.746493e-01 5.627493e-04 3.039912e+03
1.584893e-01 -4.206055e-07 5.993946e-01 -3.995815e-03 2.375608e-03 1.890449e-07 1.673619e-01 1.555471e-01 5.507738e-04 8.433512e+02
1.634306e-01 5.359532e-07 6.139311e-01 9.322964e-02 2.678941e-03 2.131833e-07 1.179107e-01 2.154128e-01 5.493631e-04 5.841860e+02
